상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,행정동코드,법정동코드,지번주소,도로명주소,신우편번호,경도,위도
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,구좌읍,구좌읍,5011025600,5011025628,제주특별자치도 제주시 구좌읍 세화리 1465-15,제주특별자치도 제주시 구좌읍 구좌로 51,63361,126.8570589,33.52321771
지에스25제주화북,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,화북동,화북일동,5011060000,5011011100,제주특별자치도 제주시 화북일동 1947-24,제주특별자치도 제주시 진동로5길 31,63290,126.5664089,33.52180841
마지막편의점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025340,제주특별자치도 제주시 애월읍 하귀1리 1548,제주특별자치도 제주시 애월읍 일주서로 7089,63053,126.4068227,33.48425603
세븐일레븐한림한수풀점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,한림읍,한림읍,5011025000,5011025023,제주특별자치도 제주시 한림읍 대림리 1848-4,제주특별자치도 제주시 한림읍 한림상로 229,63030,126.2677551,33.41868752
GS25서귀솔동산점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,송산동,서귀동,5013051000,5013010100,제주특별자치도 서귀포시 서귀동 716-5,제주특별자치도 서귀포시 솔동산로 20,63596,126.5637755,33.24313995
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025325,제주특별자치도 제주시 애월읍 수산리 1718-1,제주특별자치도 제주시 애월읍 수산서4길 46-3,63056,126.3841075,33.46470473
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,중앙동,서귀동,5013053000,5013010100,제주특별자치도 서귀포시 서귀동 251-1,제주특별자치도 서귀포시 중정로 123,63590,126.5695417,33.24880543
코리아세븐서귀포고성리점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,성산읍,성산읍,5013025900,5013025924,제주특별자치도 서귀포시 성산읍 고성리 330-1,제주특별자치도 서귀포시 성산읍 동류암로39번길 9-2,63640,126.9160414,33.44787586
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,중문동,중문동,5013061000,5013011200,제주특별자치도 서귀포시 중문동 1351-1,제주특별자치도 서귀포시 중문로 80,63545,126.4269965,33.25800229
루편의점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,중문동,대포동,5013061000,5013011400,제주특별자치도 서귀포시 대포동 1181,제주특별자치도 서귀포시 이어도로343번길 63,63543,126.4515922,33.24586001
